sample_id,rep,date,date2,type,group,group2,site,d15N,d13C,per_N,per_C,C_N_ratio,below_threshold,FG,FG2,Comments,
145,,20-Aug,A,food,forest green algae under sludge,,Wind Cave,-1.11,-3.63,0.26,9.14,35.32,n,,,,
191,,20-Aug,A,food,Green goo on rocks,,Gusher,-2.82,-16.42,3.85,31.09,8.78,y,,,4 runs averaged. Lots of variation in d13C.,
192,,20-Aug,A,food,FPOM,silty sediment,Skillet,-1.57,-24.16,0.02,0.21,9.57,n,,,"Averaged from 3 runs, all very similar.",
223,,20-Aug,A,food,Wood,,Gusher,-5.53,-27.21,1.03,49.58,48.23,n,,,,
228,B,20-Aug,A,food,FPOM,FPOM,Gusher,-3.3,-11.16,0.2,1.23,6.15,n,,,,
243,,20-Aug,A,food,Moss,,Delta,3.26,-27.95,1.81,31.36,17.29,n,,,,
274,B,20-Aug,A,food,Hydrurus,,Delta,-5.83,-22.35,5.13,29.94,5.84,n,,,,
277,,20-Aug,A,food,Wood,,Delta,-5.79,-22.04,0.1,52.43,506.86,y,,,N amplitude below threshold for reliable data,
302,B,20-Aug,A,food,Moss,,Delta,-3.5,-26.33,0.77,25,32.59,n,,,,
321,,20-Aug,A,food,Hydrurus,,NFTC,-2.1,-24.55,2.45,14.39,5.87,n,,,,
523,B,20-Aug,A,food,CPOM/Plant,Grass detritus,SFTC,-3.05,-25.93,1.06,44.94,42.45,n,,,,
525,,20-Aug,A,food,Moss,,SFTC,-0.49,-29.23,2.2,31.62,14.39,n,,,Replicates averaged,
532,,20-Aug,A,food,FPOM,FPOM,SFTC,1.09,-24.36,0.13,1.5,11.42,n,,,,
533,B,20-Aug,A,food,FPOM,FPOM,SFTC,1.19,-24.23,0.13,1.29,10.18,n,,,,
4002,A,20-Aug,A,food,CPOM/Plant,needle detritus,AK Basin,-4.17,-24.98,0.41,46.84,113.19,n,,,,
4002,B,20-Aug,A,food,CPOM/Plant,needle detritus,AK Basin,-5.42,-25.34,0.35,50.18,145.3,y,,,N & C Amplitude below threshold for reliable data.,
4019,,20-Aug,A,food,FPOM,FPOM,AK Basin,0.14,-25.37,0.53,6.32,11.98,n,,,,
4020,,20-Aug,A,food,FPOM,FPOM,AK Basin,0.64,-16.95,0.1,1.5,15.73,n,,,,
4021,,20-Aug,A,food,FPOM,FPOM,AK Basin,1.07,-20.46,0.33,4.69,14.1,n,,,,
5010,,20-Aug,A,food,Brown org on rocks,,SFTC,0.33,-23.14,0.35,3.54,10.15,n,,,,
5013,,20-Aug,A,food,Brown org on rocks,,SFTC,0.06,-21.93,0.33,3.22,9.89,n,,,,
100,,20-Aug,A,food,Snow mud,Snow mud,Cloudveil,-1.11,-25.05,0.41,3.91,9.44,n,,,,
1006 L-A,,,,food,CPOM/Plant,Leaf detritus,,-1.35,-26.17,2.48,43.87,17.68,,,,,
1006 L-B,,,,food,CPOM/Plant,Leaf detritus,,-1.1,-27.1,2.78,45.24,16.27,,,,,
1011,,21-Aug,NA,food,Hydrurus,Hydrurus SFTC,AK Basin,-0.16,-25.27,2.85,24.53,8.6,,,,,
1016,,21-Aug,NA,food,Hydrurus,Hydrurus SFTC,AK Basin,-0.07,-30.26,4.94,44.53,9.01,,,,,
1021,,21-Aug,NA,food,Hydrurus,Hydrurus SFTC,AK Basin,-0.34,-30.19,3.37,25.11,7.45,,,,,
1023,,21-Jul,A,food,Hydrurus,Hydrurus SFTC,AK Basin,0.14,-31.63,4.23,37.19,8.79,,,,,
1026,,21-Jul,A,food,Hydrurus,,Delta,-5.72,-21.82,4.48,31.21,6.97,n,,,,
1027,,21-Jul,A,food,Hydrurus,,Delta,-5.57,-22.32,5.08,33.27,6.55,n,,,,
1029,,21-Jul,A,food,Hydrurus,,Delta,-5.47,-21.31,6.05,41.77,6.91,n,,,,
1047,,21-Jul,A,food,Hydrurus,,Skillet,-4.82,-23.73,5.79,37.55,6.48,,,,,
105,,20-Aug,A,food,Moss,Moss,Cloudveil,-2.56,-22.37,1.9,24.31,12.78,n,,,,
1080,,21-Aug,NA,food,Hydrurus,,Wind Cave,-0.17,-34.81,4.96,44.49,8.97,,,,,
1085,,21-Aug,NA,food,Hydrurus,,Delta,-0.1,-32.05,4.28,40.4,9.45,n,,,,
109,,20-Aug,A,food,CPOM/Plant,Long needle detritus,Cloudveil,-3.31,-25.77,0.94,49.06,52.17,n,,,,
1091,,21-Aug,NA,food,Hydrurus,,Delta,-0.3,-33.17,3.82,34.66,9.07,n,,,,
1102,,21-Jul,A,food,Hydrurus,Hydrurus SFTC,AK Basin,-0.04,-34.28,5.51,41.53,7.54,,,,,
1108 L-A,,21-Jul,NA,food,CPOM/Plant,Leaf detritus,AK Basin,-1.74,-28.63,1.46,43.61,29.93,,,,,
1108 L-B,,21-Jul,NA,food,CPOM/Plant,Leaf detritus,AK Basin,-1.63,-28.98,1.75,43.48,24.78,,,,,
1108 L-C,,21-Jul,NA,food,CPOM/Plant,Leaf detritus,AK Basin,-3.66,-27.69,1.61,46.19,28.7,,,,,
1111,,21-Jul,NA,food,Hydrurus,,Wind Cave,-0.53,-33.48,4.68,37.78,8.08,,,,,
1112,,21-Jul,NA,food,Hydrurus,,Wind Cave,-0.68,-34.4,4.72,37.61,7.97,,,,,
1114,,21-Aug,A,food,Hydrurus,,Cloudveil,-3.81,-26.84,1.93,19.24,9.98,,,,,
1122,,21-Jul,A,food,Hydrurus,Hydrurus SFTC,AK Basin,0.01,-33.08,5.86,38.83,6.63,,,,,
1123,,21-Jul,NA,food,Hydrurus,,Wind Cave,-0.57,-36.51,6.35,45.68,7.19,,,,,
113,,20-Aug,A,food,CPOM/Plant,Grass detritus,Cloudveil,-4.36,-26.3,0.59,41.37,70.02,n,,,,
1138,,21-Aug,NA,food,Hydrurus,,Delta,-5.71,-20.42,0.21,1.56,7.28,y,,,Replicates averaged. N amplitude below threshold for reliable data,
1139,,21-Aug,NA,food,Hydrurus,,Delta,-4.62,-20.04,0.35,2.52,7.14,y,,,N amplitude below threshold for reliable data,
114,,20-Aug,A,food,Hornwart,Hornwart,Cloudveil,-0.95,-25.88,3.74,37.4,10.01,n,,,,
1143,,,,food,Hydrurus,,,-4.05,-26.57,2.59,24.07,9.31,,,,Not completely sure about date and site,
