"","site","taxa","source","Mean","SD","p2.5","p5","p25","p50","p75","p95","p97.5"
"1","AK Basin","Allomyia","Biofilm",0.012,0.014,0,0.001,0.004,0.009,0.016,0.033,0.04
"2","AK Basin","Ameletidae","Biofilm",0.017,0.028,0,0,0.002,0.006,0.02,0.076,0.106
"3","AK Basin","Baetidae","Biofilm",0.023,0.039,0,0,0.002,0.007,0.024,0.104,0.143
"4","AK Basin","Drunella","Biofilm",0.026,0.043,0,0,0.003,0.01,0.029,0.108,0.157
"5","AK Basin","Heptageniidae","Biofilm",0.019,0.028,0,0,0.002,0.008,0.023,0.079,0.105
"6","AK Basin","Homophylax","Biofilm",0.03,0.053,0,0,0.003,0.009,0.029,0.144,0.202
"7","AK Basin","Rithrogena","Biofilm",0.013,0.022,0,0,0.002,0.005,0.014,0.058,0.08
"8","AK Basin","Tipula","Biofilm",0.015,0.02,0,0,0.003,0.007,0.019,0.055,0.072
"9","AK Basin","Zapada","Biofilm",0.018,0.023,0,0,0.003,0.009,0.025,0.067,0.083
"10","AK Basin","Allomyia","CPOM/Plant",0.264,0.084,0.1,0.122,0.203,0.27,0.326,0.396,0.416
"11","AK Basin","Ameletidae","CPOM/Plant",0.145,0.08,0.02,0.03,0.084,0.139,0.196,0.285,0.329
"12","AK Basin","Baetidae","CPOM/Plant",0.132,0.083,0.018,0.025,0.069,0.118,0.177,0.285,0.334
"13","AK Basin","Drunella","CPOM/Plant",0.397,0.15,0.093,0.138,0.306,0.395,0.493,0.65,0.706
"14","AK Basin","Heptageniidae","CPOM/Plant",0.219,0.078,0.064,0.091,0.168,0.218,0.27,0.346,0.377
"15","AK Basin","Homophylax","CPOM/Plant",0.251,0.149,0.034,0.051,0.146,0.227,0.333,0.539,0.621
"16","AK Basin","Rithrogena","CPOM/Plant",0.108,0.064,0.014,0.021,0.058,0.099,0.146,0.226,0.25
"17","AK Basin","Tipula","CPOM/Plant",0.494,0.091,0.323,0.352,0.436,0.491,0.55,0.649,0.685
"18","AK Basin","Zapada","CPOM/Plant",0.339,0.054,0.232,0.253,0.304,0.338,0.374,0.428,0.448
"19","AK Basin","Allomyia","Hydrurus",0.724,0.084,0.567,0.59,0.664,0.72,0.786,0.867,0.886
"20","AK Basin","Ameletidae","Hydrurus",0.838,0.085,0.652,0.688,0.782,0.844,0.902,0.962,0.974
"21","AK Basin","Baetidae","Hydrurus",0.845,0.092,0.627,0.671,0.793,0.86,0.915,0.967,0.979
"22","AK Basin","Drunella","Hydrurus",0.577,0.15,0.274,0.333,0.48,0.577,0.67,0.839,0.89
"23","AK Basin","Heptageniidae","Hydrurus",0.762,0.08,0.601,0.629,0.709,0.762,0.814,0.893,0.922
"24","AK Basin","Homophylax","Hydrurus",0.719,0.155,0.357,0.433,0.624,0.74,0.831,0.939,0.96
"25","AK Basin","Rithrogena","Hydrurus",0.879,0.069,0.727,0.756,0.837,0.889,0.931,0.973,0.981
"26","AK Basin","Tipula","Hydrurus",0.491,0.09,0.303,0.34,0.435,0.496,0.55,0.631,0.655
"27","AK Basin","Zapada","Hydrurus",0.642,0.053,0.537,0.554,0.608,0.644,0.677,0.728,0.744
"28","Cloudveil","Heterocloeon","Biofilm",0.817,0.104,0.588,0.63,0.751,0.832,0.898,0.959,0.971
"29","Cloudveil","Lednia","Biofilm",0.934,0.051,0.807,0.835,0.907,0.945,0.972,0.991,0.994
"30","Cloudveil","Midges","Biofilm",0.824,0.085,0.641,0.675,0.771,0.827,0.882,0.958,0.977
"31","Cloudveil","Zapada","Biofilm",0.92,0.066,0.759,0.791,0.889,0.936,0.967,0.99,0.993
"32","Cloudveil","Heterocloeon","CPOM/Plant",0.072,0.069,0.002,0.003,0.019,0.051,0.105,0.21,0.254
"33","Cloudveil","Lednia","CPOM/Plant",0.029,0.033,0,0.001,0.006,0.017,0.041,0.096,0.121
"34","Cloudveil","Midges","CPOM/Plant",0.068,0.066,0.001,0.002,0.014,0.047,0.104,0.201,0.231
"35","Cloudveil","Zapada","CPOM/Plant",0.034,0.042,0,0.001,0.006,0.02,0.047,0.113,0.144
"36","Cloudveil","Heterocloeon","Hydrurus",0.111,0.095,0.003,0.006,0.036,0.087,0.158,0.302,0.348
"37","Cloudveil","Lednia","Hydrurus",0.038,0.04,0.001,0.002,0.009,0.024,0.053,0.116,0.144
"38","Cloudveil","Midges","Hydrurus",0.109,0.089,0.001,0.003,0.032,0.094,0.165,0.275,0.324
"39","Cloudveil","Zapada","Hydrurus",0.046,0.052,0.001,0.002,0.011,0.03,0.062,0.153,0.19
"40","Delta","Allomyia","Biofilm",0.68,0.104,0.467,0.506,0.609,0.682,0.751,0.848,0.874
"41","Delta","Homophylax","Biofilm",0.847,0.126,0.509,0.61,0.798,0.879,0.935,0.974,0.982
"42","Delta","Lednia","Biofilm",0.686,0.138,0.42,0.464,0.588,0.684,0.787,0.913,0.946
"43","Delta","Midges","Biofilm",0.438,0.098,0.271,0.293,0.375,0.432,0.493,0.605,0.651
"44","Delta","Tipula","Biofilm",0.275,0.194,0.051,0.072,0.142,0.223,0.341,0.726,0.865
"45","Delta","Zapada","Biofilm",0.806,0.105,0.583,0.615,0.736,0.815,0.886,0.959,0.971
"46","Delta","Allomyia","CPOM/Plant",0.143,0.089,0.011,0.02,0.074,0.129,0.2,0.305,0.338
"47","Delta","Homophylax","CPOM/Plant",0.091,0.112,0.002,0.004,0.02,0.051,0.116,0.324,0.403
"48","Delta","Lednia","CPOM/Plant",0.136,0.113,0.004,0.008,0.046,0.106,0.201,0.355,0.403
"49","Delta","Midges","CPOM/Plant",0.119,0.077,0.007,0.012,0.058,0.108,0.168,0.258,0.29
"50","Delta","Tipula","CPOM/Plant",0.357,0.223,0.006,0.015,0.173,0.366,0.518,0.727,0.795
"51","Delta","Zapada","CPOM/Plant",0.119,0.098,0.003,0.006,0.037,0.096,0.179,0.313,0.355
"52","Delta","Allomyia","Hydrurus",0.177,0.081,0.039,0.057,0.116,0.17,0.23,0.316,0.352
"53","Delta","Homophylax","Hydrurus",0.062,0.054,0.005,0.008,0.024,0.047,0.083,0.173,0.203
"54","Delta","Lednia","Hydrurus",0.179,0.112,0.013,0.022,0.087,0.169,0.258,0.375,0.416
"55","Delta","Midges","Hydrurus",0.443,0.088,0.237,0.294,0.397,0.452,0.502,0.565,0.586
"56","Delta","Tipula","Hydrurus",0.368,0.213,0.021,0.034,0.198,0.367,0.517,0.73,0.795
"57","Delta","Zapada","Hydrurus",0.075,0.055,0.007,0.011,0.031,0.062,0.107,0.181,0.21
"58","Grizzly","Homophylax","Biofilm",0.321,0.046,0.243,0.255,0.289,0.316,0.349,0.403,0.427
"59","Grizzly","Midges","Biofilm",0.379,0.083,0.231,0.254,0.325,0.373,0.427,0.522,0.563
"60","Grizzly","Simuliidae","Biofilm",0.277,0.04,0.209,0.217,0.249,0.274,0.3,0.349,0.365
"61","Grizzly","Homophylax","CPOM/Plant",0.062,0.034,0.006,0.01,0.036,0.059,0.085,0.123,0.136
"62","Grizzly","Midges","CPOM/Plant",0.04,0.037,0.002,0.004,0.014,0.03,0.056,0.108,0.134
"63","Grizzly","Simuliidae","CPOM/Plant",0.02,0.016,0.001,0.002,0.009,0.016,0.027,0.05,0.059
"64","Grizzly","Homophylax","Pikapoop",0.617,0.048,0.513,0.532,0.586,0.62,0.651,0.692,0.702
"65","Grizzly","Midges","Pikapoop",0.581,0.086,0.393,0.434,0.531,0.586,0.636,0.711,0.739
"66","Grizzly","Simuliidae","Pikapoop",0.703,0.041,0.612,0.63,0.679,0.706,0.731,0.764,0.775
"67","NFTC","Allomyia","Biofilm",0.485,0.122,0.257,0.29,0.402,0.481,0.563,0.694,0.743
"68","NFTC","Homophylax","Biofilm",0.576,0.114,0.338,0.386,0.507,0.578,0.649,0.758,0.796
"69","NFTC","Midges","Biofilm",0.393,0.076,0.231,0.27,0.348,0.396,0.444,0.51,0.534
"70","NFTC","Simuliidae","Biofilm",0.405,0.161,0.1,0.145,0.294,0.398,0.5,0.694,0.755
"71","NFTC","Tipula","Biofilm",0.806,0.157,0.226,0.539,0.762,0.847,0.901,0.957,0.967
"72","NFTC","Allomyia","CPOM/Plant",0.256,0.128,0.048,0.066,0.157,0.247,0.339,0.481,0.531
"73","NFTC","Homophylax","CPOM/Plant",0.159,0.11,0.013,0.02,0.066,0.138,0.233,0.366,0.405
"74","NFTC","Midges","CPOM/Plant",0.42,0.119,0.13,0.207,0.352,0.43,0.499,0.587,0.619
"75","NFTC","Simuliidae","CPOM/Plant",0.199,0.156,0.013,0.021,0.074,0.156,0.295,0.507,0.569
"76","NFTC","Tipula","CPOM/Plant",0.109,0.134,0.007,0.01,0.034,0.071,0.131,0.318,0.556
"77","NFTC","Allomyia","Hydrurus",0.258,0.146,0.02,0.04,0.148,0.243,0.353,0.519,0.574
"78","NFTC","Homophylax","Hydrurus",0.265,0.167,0.009,0.021,0.122,0.26,0.387,0.545,0.591
"79","NFTC","Midges","Hydrurus",0.187,0.132,0.011,0.021,0.088,0.164,0.258,0.437,0.515
"80","NFTC","Simuliidae","Hydrurus",0.396,0.232,0.012,0.03,0.202,0.408,0.579,0.769,0.814
"81","NFTC","Tipula","Hydrurus",0.084,0.088,0.004,0.008,0.029,0.06,0.111,0.224,0.278
"82","Paintbrush","Homophylax","Biofilm",0.882,0.1,0.589,0.66,0.854,0.909,0.947,0.984,0.99
"83","Paintbrush","Lednia","Biofilm",0.85,0.126,0.551,0.639,0.772,0.875,0.955,0.994,0.997
"84","Paintbrush","Midges","Biofilm",0.638,0.324,0.173,0.204,0.311,0.785,0.964,0.994,0.997
"85","Paintbrush","Simuliidae","Biofilm",0.805,0.115,0.587,0.628,0.723,0.792,0.898,0.99,0.996
"86","Paintbrush","Homophylax","CPOM/Plant",0.118,0.1,0.01,0.016,0.053,0.091,0.146,0.34,0.411
"87","Paintbrush","Lednia","CPOM/Plant",0.15,0.126,0.003,0.006,0.045,0.125,0.228,0.361,0.449
"88","Paintbrush","Midges","CPOM/Plant",0.362,0.324,0.003,0.006,0.036,0.215,0.689,0.796,0.827
"89","Paintbrush","Simuliidae","CPOM/Plant",0.195,0.115,0.004,0.01,0.102,0.208,0.277,0.372,0.413
"90","SFTC","Allomyia","Algae_slime",0.159,0.037,0.092,0.102,0.134,0.157,0.183,0.222,0.237
"91","SFTC","Baetidae","Algae_slime",0.295,0.04,0.215,0.228,0.269,0.295,0.322,0.36,0.375
"92","SFTC","Cinygmula","Algae_slime",0.16,0.035,0.09,0.103,0.137,0.161,0.185,0.217,0.228
"93","SFTC","Epeorus","Algae_slime",0.145,0.039,0.061,0.075,0.122,0.148,0.172,0.206,0.215
"94","SFTC","Megarcys","Algae_slime",0.306,0.057,0.184,0.211,0.27,0.307,0.343,0.394,0.413
"95","SFTC","Midges","Algae_slime",0.25,0.04,0.164,0.182,0.225,0.253,0.278,0.31,0.32
"96","SFTC","Rhyacophila","Algae_slime",0.154,0.077,0.022,0.032,0.094,0.15,0.209,0.287,0.31
"97","SFTC","Simuliidae","Algae_slime",0.203,0.035,0.131,0.145,0.18,0.203,0.227,0.259,0.271
"98","SFTC","Zapada","Algae_slime",0.27,0.029,0.209,0.22,0.252,0.271,0.289,0.317,0.327
"99","SFTC","Allomyia","Biofilm",0.481,0.137,0.198,0.236,0.389,0.486,0.584,0.688,0.713
"100","SFTC","Baetidae","Biofilm",0.508,0.102,0.273,0.323,0.448,0.519,0.58,0.655,0.673
"101","SFTC","Cinygmula","Biofilm",0.601,0.112,0.36,0.408,0.528,0.611,0.683,0.762,0.784
"102","SFTC","Epeorus","Biofilm",0.611,0.179,0.142,0.225,0.53,0.661,0.741,0.812,0.83
"103","SFTC","Megarcys","Biofilm",0.507,0.115,0.246,0.298,0.443,0.52,0.587,0.665,0.692
"104","SFTC","Midges","Biofilm",0.079,0.047,0.014,0.019,0.044,0.071,0.106,0.167,0.194
"105","SFTC","Rhyacophila","Biofilm",0.258,0.171,0.032,0.048,0.134,0.223,0.343,0.613,0.7
"106","SFTC","Simuliidae","Biofilm",0.529,0.106,0.315,0.348,0.46,0.533,0.602,0.697,0.72
"107","SFTC","Zapada","Biofilm",0.369,0.104,0.154,0.192,0.302,0.374,0.44,0.53,0.568
"108","SFTC","Allomyia","CPOM/Plant",0.36,0.145,0.112,0.14,0.25,0.352,0.46,0.617,0.656
"109","SFTC","Baetidae","CPOM/Plant",0.197,0.112,0.031,0.043,0.115,0.181,0.261,0.412,0.461
"110","SFTC","Cinygmula","CPOM/Plant",0.239,0.127,0.041,0.058,0.141,0.224,0.32,0.461,0.517
"111","SFTC","Epeorus","CPOM/Plant",0.244,0.202,0.021,0.03,0.094,0.183,0.33,0.681,0.783
"112","SFTC","Megarcys","CPOM/Plant",0.187,0.124,0.028,0.039,0.096,0.161,0.249,0.421,0.487
"113","SFTC","Midges","CPOM/Plant",0.67,0.066,0.533,0.561,0.629,0.674,0.715,0.771,0.788
"114","SFTC","Rhyacophila","CPOM/Plant",0.588,0.194,0.113,0.199,0.48,0.619,0.727,0.855,0.893
"115","SFTC","Simuliidae","CPOM/Plant",0.268,0.119,0.059,0.084,0.184,0.263,0.342,0.476,0.522
"116","SFTC","Zapada","CPOM/Plant",0.361,0.118,0.137,0.182,0.28,0.354,0.439,0.566,0.607
"117","Skillet","Agathon","Biofilm",0.562,0.199,0.122,0.175,0.44,0.591,0.711,0.842,0.872
"118","Skillet","Allomyia","Biofilm",0.425,0.21,0.06,0.098,0.261,0.415,0.58,0.78,0.843
"119","Skillet","Lednia","Biofilm",0.331,0.176,0.045,0.069,0.192,0.323,0.456,0.635,0.693
"120","Skillet","Midges","Biofilm",0.636,0.258,0.02,0.039,0.588,0.712,0.803,0.918,0.948
"121","Skillet","Rhyacophila","Biofilm",0.657,0.246,0.045,0.095,0.543,0.71,0.846,0.954,0.97
"122","Skillet","Simuliidae","Biofilm",0.408,0.148,0.136,0.175,0.299,0.403,0.507,0.66,0.709
"123","Skillet","Agathon","CPOM/Plant",0.056,0.046,0.003,0.005,0.022,0.044,0.079,0.148,0.178
"124","Skillet","Allomyia","CPOM/Plant",0.038,0.044,0.001,0.002,0.01,0.023,0.05,0.129,0.164
"125","Skillet","Lednia","CPOM/Plant",0.052,0.059,0.001,0.002,0.011,0.031,0.069,0.176,0.23
"126","Skillet","Midges","CPOM/Plant",0.107,0.082,0.001,0.003,0.033,0.098,0.162,0.255,0.288
"127","Skillet","Rhyacophila","CPOM/Plant",0.03,0.035,0.001,0.001,0.007,0.018,0.039,0.099,0.133
"128","Skillet","Simuliidae","CPOM/Plant",0.068,0.056,0.001,0.003,0.021,0.056,0.1,0.175,0.205
"129","Skillet","Agathon","Hydrurus",0.382,0.198,0.096,0.12,0.228,0.349,0.503,0.772,0.832
"130","Skillet","Allomyia","Hydrurus",0.537,0.221,0.091,0.149,0.377,0.547,0.709,0.879,0.914
"131","Skillet","Lednia","Hydrurus",0.617,0.199,0.179,0.251,0.489,0.633,0.773,0.91,0.931
"132","Skillet","Midges","Hydrurus",0.257,0.277,0.016,0.024,0.073,0.15,0.287,0.915,0.953
"133","Skillet","Rhyacophila","Hydrurus",0.313,0.248,0.016,0.029,0.122,0.252,0.429,0.884,0.94
"134","Skillet","Simuliidae","Hydrurus",0.524,0.158,0.2,0.255,0.417,0.529,0.632,0.777,0.829
"135","Wind Cave","Acari","Biofilm",0.041,0.04,0.002,0.003,0.015,0.03,0.054,0.112,0.137
"136","Wind Cave","Allomyia","Biofilm",0.031,0.039,0.001,0.002,0.008,0.019,0.04,0.103,0.139
"137","Wind Cave","Lednia","Biofilm",0.039,0.066,0,0.001,0.005,0.017,0.044,0.161,0.232
"138","Wind Cave","Megarcys","Biofilm",0.115,0.081,0.001,0.003,0.058,0.108,0.159,0.262,0.305
"139","Wind Cave","Midges","Biofilm",0.018,0.022,0.001,0.001,0.005,0.011,0.022,0.056,0.081
"140","Wind Cave","Simuliidae","Biofilm",0.045,0.066,0.001,0.001,0.008,0.023,0.056,0.159,0.218
"141","Wind Cave","Zapada","Biofilm",0.032,0.03,0.001,0.002,0.009,0.024,0.044,0.089,0.107
"142","Wind Cave","Acari","CPOM/Plant",0.185,0.071,0.078,0.087,0.135,0.174,0.226,0.317,0.353
"143","Wind Cave","Allomyia","CPOM/Plant",0.435,0.127,0.193,0.237,0.356,0.429,0.509,0.66,0.707
"144","Wind Cave","Lednia","CPOM/Plant",0.079,0.066,0.006,0.009,0.032,0.062,0.108,0.197,0.237
"145","Wind Cave","Megarcys","CPOM/Plant",0.181,0.065,0.061,0.078,0.136,0.178,0.22,0.293,0.322
"146","Wind Cave","Midges","CPOM/Plant",0.617,0.102,0.444,0.468,0.542,0.609,0.682,0.798,0.84
"147","Wind Cave","Simuliidae","CPOM/Plant",0.205,0.123,0.02,0.032,0.109,0.195,0.281,0.419,0.477
"148","Wind Cave","Zapada","CPOM/Plant",0.217,0.057,0.11,0.128,0.178,0.216,0.253,0.317,0.341
"149","Wind Cave","Acari","Hydrurus",0.774,0.08,0.597,0.632,0.728,0.784,0.832,0.887,0.897
"150","Wind Cave","Allomyia","Hydrurus",0.533,0.133,0.244,0.297,0.455,0.541,0.619,0.74,0.781
"151","Wind Cave","Lednia","Hydrurus",0.882,0.096,0.643,0.705,0.843,0.904,0.946,0.983,0.988
"152","Wind Cave","Megarcys","Hydrurus",0.704,0.102,0.488,0.527,0.646,0.711,0.771,0.859,0.881
"153","Wind Cave","Midges","Hydrurus",0.366,0.103,0.141,0.178,0.3,0.372,0.443,0.518,0.538
"154","Wind Cave","Simuliidae","Hydrurus",0.749,0.142,0.428,0.49,0.667,0.764,0.853,0.949,0.967
"155","Wind Cave","Zapada","Hydrurus",0.751,0.059,0.629,0.651,0.714,0.754,0.791,0.845,0.86
