"","site","H","D"
"1","AK Basin",0.969117421983814,0.370041970972978
"2","Cloudveil",0.474608687677338,0.214466776353703
"3","Delta",0.267933320679092,0.114386975009964
"4","Grizzly",0.61119589089667,0.287310537733596
"5","Gusher",0.993395749139359,0.517548230229592
"6","Middle Teton",0.177194289696041,0.0687393909272418
"7","NFTC",0.30564683504888,0.134556417325878
"8","Paintbrush",0.187334362477396,0.067886276917679
"9","SFTC",1.37756104786239,0.630122138443077
"10","Skillet",0.52770010039643,0.222033277830918
"11","South Cascade RG",0.261764482909015,0.135633551457466
"12","Wind Cave",0.646722095208538,0.401147959183674
