
#################################################################
# Summary Statistics
#################################################################

DIC = 71.93384

                         Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Epsilon.1               2.960 2.024 0.824 1.037 1.735 2.438 3.490 6.589 8.230
Epsilon.2               0.503 0.309 0.131 0.163 0.298 0.436 0.630 1.068 1.328
p.Allomyia.Biofilm      0.486 0.123 0.250 0.285 0.401 0.481 0.564 0.689 0.741
p.Homophylax.Biofilm    0.580 0.108 0.357 0.405 0.512 0.580 0.650 0.749 0.786
p.Midges.Biofilm        0.392 0.076 0.229 0.263 0.347 0.395 0.441 0.508 0.530
p.Simuliidae.Biofilm    0.406 0.163 0.103 0.147 0.296 0.400 0.503 0.698 0.774
p.Tipula.Biofilm        0.801 0.157 0.289 0.503 0.757 0.838 0.899 0.956 0.966
p.Allomyia.CPOM/Plant   0.259 0.130 0.051 0.068 0.161 0.245 0.347 0.488 0.534
p.Homophylax.CPOM/Plant 0.164 0.112 0.013 0.020 0.072 0.143 0.243 0.372 0.408
p.Midges.CPOM/Plant     0.424 0.119 0.145 0.218 0.353 0.432 0.504 0.601 0.632
p.Simuliidae.CPOM/Plant 0.203 0.155 0.013 0.021 0.077 0.163 0.298 0.512 0.566
p.Tipula.CPOM/Plant     0.115 0.137 0.007 0.011 0.036 0.075 0.140 0.367 0.558
p.Allomyia.Hydrurus     0.255 0.151 0.021 0.035 0.135 0.241 0.360 0.530 0.590
p.Homophylax.Hydrurus   0.256 0.165 0.010 0.018 0.112 0.248 0.380 0.532 0.574
p.Midges.Hydrurus       0.184 0.132 0.010 0.018 0.083 0.159 0.256 0.432 0.497
p.Simuliidae.Hydrurus   0.392 0.236 0.012 0.027 0.191 0.403 0.570 0.774 0.826
p.Tipula.Hydrurus       0.084 0.090 0.005 0.007 0.029 0.061 0.112 0.221 0.290
