
#################################################################
# Summary Statistics
#################################################################

DIC = 242.3525

                         Mean    SD  2.5%    5%   25%   50%    75%    95%  97.5%
Epsilon.1               7.059 5.062 1.218 1.459 2.588 5.442 10.831 16.732 18.213
Epsilon.2               0.321 0.402 0.005 0.006 0.013 0.224  0.498  1.051  1.380
p.Homophylax.Biofilm    0.884 0.096 0.611 0.691 0.857 0.910  0.944  0.983  0.991
p.Lednia.Biofilm        0.846 0.128 0.556 0.638 0.769 0.864  0.954  0.993  0.997
p.Midges.Biofilm        0.644 0.326 0.170 0.201 0.308 0.822  0.966  0.994  0.997
p.Simuliidae.Biofilm    0.804 0.115 0.589 0.628 0.724 0.792  0.894  0.990  0.996
p.Homophylax.CPOM/Plant 0.116 0.096 0.009 0.017 0.056 0.090  0.143  0.309  0.389
p.Lednia.CPOM/Plant     0.154 0.128 0.003 0.007 0.046 0.136  0.231  0.362  0.444
p.Midges.CPOM/Plant     0.356 0.326 0.003 0.006 0.034 0.178  0.692  0.799  0.830
p.Simuliidae.CPOM/Plant 0.196 0.115 0.004 0.010 0.106 0.208  0.276  0.372  0.411
