"","site","X","taxa","source","Mean","SD","Primary_water_source","Riparian_habitat","Elevation","Tmean","Tmax","DO_mg_L","SPC","TSS_g_L","Chla_mg_m2","pH","slope","aspect","aspect_beers","fluoride","chloride","nitrate","sulfate","Notes","PCA1","PCA2","PCA3","PCA4","H","D","variable"
"1","AK Basin",1,"Allomyia","Biofilm",0.012,0.014,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"2","AK Basin",2,"Allomyia","CPOM",0.264,0.084,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"3","AK Basin",3,"Allomyia","Hydrurus",0.724,0.084,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"4","AK Basin",4,"Ameletidae","Biofilm",0.017,0.028,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"5","AK Basin",5,"Ameletidae","CPOM",0.145,0.08,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"6","AK Basin",6,"Ameletidae","Hydrurus",0.838,0.085,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"7","AK Basin",7,"Baetidae","Biofilm",0.023,0.039,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"8","AK Basin",8,"Baetidae","CPOM",0.132,0.083,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"9","AK Basin",9,"Baetidae","Hydrurus",0.845,0.092,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"10","AK Basin",10,"Drunella","Biofilm",0.026,0.043,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"11","AK Basin",11,"Drunella","CPOM",0.397,0.15,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"12","AK Basin",12,"Drunella","Hydrurus",0.577,0.15,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"13","AK Basin",13,"Heptageniidae","Biofilm",0.019,0.028,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"14","AK Basin",14,"Heptageniidae","CPOM",0.219,0.078,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"15","AK Basin",15,"Heptageniidae","Hydrurus",0.762,0.08,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"16","AK Basin",16,"Homophylax","Biofilm",0.03,0.053,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"17","AK Basin",17,"Homophylax","CPOM",0.251,0.149,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"18","AK Basin",18,"Homophylax","Hydrurus",0.719,0.155,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
