"","site","taxa","n"
"1","Alaska Basin RG","Allomyia",2
"2","Alaska Basin RG","Baetis",11
"3","Alaska Basin RG","Cinygmula",10
"4","Alaska Basin RG","Clinocera",1
"5","Alaska Basin RG","Drunella",1
"6","Alaska Basin RG","Epeorus",1
"7","Alaska Basin RG","Megarcys",10
"8","Alaska Basin RG","Midges",92
"9","Alaska Basin RG","Oligochaeta",8
"10","Alaska Basin RG","Sweltsa",3
"11","Alaska Basin RG","Tipula",1
"12","Alaska Basin RG","Zapada",20
"13","Cloudveil","Dicranota",0
"14","Cloudveil","Homophylax",1
"15","Cloudveil","Lednia",10
"16","Cloudveil","Midges",103
"17","Delta Lake Inlet","Megarcys",3
"18","Delta Lake Inlet","Midges",125
"19","Delta Lake Inlet","Oligochaeta",2
"20","Delta Lake Inlet","Rhyacophilidae",6
"21","Delta Lake Inlet","Zapada",9
"22","Grizzly","Acari",1
"23","Grizzly","Homophylax",4
"24","Grizzly","Megarcys",1
"25","Grizzly","Midges",136
"26","Grizzly","Oligochaeta",21
"27","Grizzly","Simuliidae",113
"28","Grizzly","Sphaeridiinae",1
"29","Middle Teton","Clinocera",4
"30","Middle Teton","Midges",127
"31","Middle Teton","Oligochaeta",2
"32","NF Teton Creek","Dicranota",1
"33","NF Teton Creek","Megarcys",3
"34","NF Teton Creek","Midges",69
"35","NF Teton Creek","Rhyacophilidae",1
"36","NF Teton Creek","Simuliidae",9
"37","NF Teton Creek","Zapada",1
"38","Paintbrush RG","Homophylax",2
"39","Paintbrush RG","Midges",111
"40","Paintbrush RG","Oligochaeta",9
"41","Paintbrush RG","Simuliidae",10
"42","SF Teton Creek","Allomyia",1
"43","SF Teton Creek","Cinygmula",35
"44","SF Teton Creek","Epeorus",30
"45","SF Teton Creek","Megarcys",35
"46","SF Teton Creek","Midges",97
"47","SF Teton Creek","Rhyacophilidae",7
"48","SF Teton Creek","Simuliidae",5
"49","SF Teton Creek","Sweltsa",36
"50","SF Teton Creek","Tipula",31
"51","SF Teton Creek","Zapada",17
"52","Skillet Glacier","Agathon",1
"53","Skillet Glacier","Allomyia",1
"54","Skillet Glacier","Lednia",3
"55","Skillet Glacier","Midges",107
"56","Skillet Glacier","Rhyacophilidae",9
"57","Skillet Glacier","Simuliidae",5
"58","Skillet Glacier","Tanypodinae",2
"59","South Cascade RG","Lednia",1
"60","South Cascade RG","Midges",59
"61","The Gusher","Acari",1
"62","The Gusher","Agathon",1
"63","The Gusher","Allomyia",1
"64","The Gusher","Baetis",1
"65","The Gusher","Clinocera",1
"66","The Gusher","Dicranota",1
"67","The Gusher","Lednia",34
"68","The Gusher","Megarcys",9
"69","The Gusher","Midges",163
"70","The Gusher","Oligochaeta",2
"71","The Gusher","Rhyacophilidae",1
"72","The Gusher","Simuliidae",16
"73","The Gusher","Zapada",98
"74","Wind Cave","Acari",1
"75","Wind Cave","Megarcys",49
"76","Wind Cave","Midges",93
"77","Wind Cave","Rhyacophilidae",4
"78","Wind Cave","Zapada",44
